Claimant ZIP,Employer ZIP,Case,Filed,Status,Employer,Amount Demanded,Amount Resolved,Closed,Industry
60622,60613,14-A00121,2014-03-18,Dismissed,Pay-Ease LLC,,,2015-03-09,
60056,60047,14-A00122,2014-03-18,Dismissed,Critical Systems Services Inc.,,,,
60626,60048,14-A00123,2014-03-18,Dismissed,Acura of Libertyville,,,,
60640,60640,14-A00124,2014-03-18,Dismissed,The Brixton,,,2015-04-09,
60071,60005,14-A00126,2014-03-18,Dismissed,American Fire & Rescue Service,,,2015-07-09,
60085,60048,14-A00127,2014-03-18,Dismissed,JB Brickworks,,,,
61201,61201,14-A00128,2014-03-18,Dismissed,Rock Island-Milan Head Start,,,2016-08-22,
62321,62321,14-A00129,2014-03-19,Dismissed,Wright Place (P&R),,,,
60014,60192,14-A00130,2014-03-19,Dismissed,"RDD Leasing, Inc.",,,,
60618,60018,14-A00131,2014-03-21,Fully Paid,Riverview Shell Inc.,1736.45,,2015-08-05,
62363,62363,14-A00132,2014-03-21,Dismissed,Red Dome Inn,,,2016-08-30,Restaurant
60534,60534,14-A00133,2014-03-21,Dismissed,"Gaytan Construction, Inc.",,,,
60532,60555,14-A00134,2014-04-02,Dismissed,Medical Staffing Network,,,,
60656,46350,14-A00136,2014-04-02,Fully Paid,"Room Restorations, Inc.",2550,,2016-11-16,Construction/Landscaping
60623,46410-2955,14-A00137,2014-04-02,Dismissed,Superior Commercial Systems,,,2016-04-18,Construction/Landscaping
60009,60085,14-A00138,2014-04-02,Dismissed,Big Eds Bar and Grill,,,,Restaurant
60632,60139,14-A00139,2014-04-02,Dismissed,"Corecentric Solutions, Inc",,,,
61068,61068,14-A00140,2014-04-02,Dismissed,Flight Deck Bar & Grill/AKA Guodraw Entertainment Team Inc,,,2014-11-13,
60085,60099,14-A00141,2014-04-02,Dismissed,Cleveland Corp,,,,
60452,60609,14-A00142,2014-04-02,Dismissed,Ada S McKinley Community Services,0,,2015-09-30,Service
62703,62702,14-A00143,2014-04-02,Fully Paid,Thai Basil,952.75,,2014-11-13,
60126,60126,14-A00144,2014-03-13,Dismissed,Red Dragon Chinese Restaurant/Ameri-Kor Intl Inc,,,2015-01-22,
61356,61301,14-A00145,2014-04-02,Dismissed,J. Mauro After Trucking Inc,,,2014-12-15,Transportation
60644,60644,14-A00146,2014-04-02,Dismissed,Loretto Hospital,,,2015-10-16,Health Care
62959,62959,14-A00147,2014-04-02,Dismissed,"Rail Ready Services, Inc",,,2015-09-07,Transportation
,61911,14-A00148,2014-04-03,Dismissed,"Clearview Construction, LLC",,,2015-02-03,Construction/Landscaping
,61911,14-A00149,2014-04-03,Dismissed,"Lincoln Land Builders, IL",,,2015-02-03,Construction/Landscaping
67744,60477,14-A00150,2014-03-05,Dismissed,Princess J. Inc.,,,,
60707,60091,14-A00151,2014-04-22,Dismissed,"Oreck Floor Care Centers of Texas, LTD",,,,
60014,60192,14-A00153,2014-04-22,Dismissed,"RDD Leasing, Inc",,,2015-09-07,
60090,60015,14-A00154,2014-04-22,Fully Paid,Moriah Congregation,4642.45,,2015-10-16,
61375,61540,14-A00156,2014-04-22,Dismissed,Marshall County,,,2015-01-20,Government
60617,60805,14-A00157,2014-04-22,Dismissed,Popeye's ,,,2015-09-07,Fast Food
60440,60126,14-A00158,2014-04-22,Dismissed,Sal's Beverage World,,,2015-03-04,
60402,60527,14-A00159,2014-04-22,Dismissed,A51 Bar & Grill,,,2015-05-05,
60628,60827,14-A00161,2014-04-22,Fully Paid,Key Food and Liquor,800,,2016-07-08,
60632,60610,14-A00162,2014-04-22,Dismissed,Casa Mexico,,,2015-01-26,
,60403,14-A00163,2014-04-21,Dismissed,Skyward Employment Services,,,,
,60607,14-A00164,2014-04-22,Dismissed,Old Country Buffet,,,2015-08-31,Restaurant
60165,60155,14-A00167,2014-04-22,Dismissed,Credit Master Auto,,,2014-11-10,
60652,60634,14-A00168,2014-04-22,Dismissed,"Cake Production, Inc",,,2015-05-22,
62922,60185,14-A00169,2014-04-22,Dismissed,Timberline Fisheries Corp,,,2015-03-09,
,60803,14-A00170,2014-04-22,Dismissed,Hayes Beer Distributors,,,2015-07-30,
60652,60155,14-A00171,2014-04-22,Dismissed,EJR Logistics,,,2015-07-27,
62656,28105,14-A00172,2014-04-21,Dismissed,Synergy One Locating,,,2015-09-30,Energy
62249,62205,14-A00173,2014-04-22,Dismissed,RadioShack Corp,,,2014-10-10,Retail & Wholesale
60657,60091,14-A00174,2014-04-21,Dismissed,LJ Thalmann Co/Chalet Nursery,,,,Agriculture
60623,60632,14-A00176,2014-04-22,Fully Paid,FYI Acct & Tax Svc/Liberty Tax Service,397.83,,2015-07-10,
60625,60199,14-A00177,2014-04-22,Dismissed,United States Postal Service,,,2015-01-30,
60491,60415,14-A00180,2014-04-21,Dismissed,"Hollywood Crane Services, Inc.",,,2015-08-31,Construction/Landscaping
62454,62454,14-A00182,2014-04-15,Dismissed,Quail Creek Country Club,,,2015-07-13,
60629,60067,14-A00183,2014-04-24,Dismissed,Upholstered Walls by Anne Marie,,,2015-04-30,
,60608,14-A00184,2014-04-25,Dismissed,Jiao's Employment Agency,,,2014-04-25,
,60616,14-A00185,2014-04-25,Dismissed,Xing Ying Employment Agency,,,2014-04-25,
,60616,14-A00186,2014-04-30,Dismissed,Chinatown Agencies de Empleo,,,2014-04-25,
,60608,14-A00187,2014-04-25,Dismissed,Cai's Employment Agency,,,2014-04-25,
,62544,14-A00188,2014-05-01,Fully Paid,Macon Speedway,,,,
60505,60505,14-A00189,2014-05-06,Dismissed,Edgar Sanchez,,,,
60631,60635,14-A00190,2014-05-13,Dismissed,CJ Professional Cleaning Service,,,,Cleaning Services - Home & Office
62221,62220,14-A00191,2014-05-13,Dismissed,St. Clair County IGD ,,,2015-10-16,Government
60076,60065,14-A00193,2014-05-15,Dismissed,Advanced Instititue for Infertility,,,2015-04-30,
60425,60403,14-A00194,2014-05-15,Dismissed,Pearl Vision,,,,
62206,62201,14-A00195,2014-05-15,Dismissed,IEC Management/VCGH Holdings,,,,Entertainment & Leisure
60193,77535,14-A00196,2014-05-15,Dismissed,Nolo's Renovation Team,,,2015-05-08,Construction/Landscaping
60608,60440,14-A00197,2014-05-15,Dismissed,Mid America Granite,,,2016-05-11,Construction/Landscaping
60099,60085,14-A00198,2014-05-15,Dismissed,Ramada Waukegan-Gurnee,,,2015-09-07,
60189,60523,14-A00201,2014-05-15,Dismissed,Grotto Italian Steakhouse,,,2015-06-29,
60641,60611,14-A00202,2014-05-15,Dismissed,Trabert & Hoeffer,,,,
00754,62837,14-A00203,2014-05-15,Dismissed,El Mexicano 2,1700,,2016-03-23,Restaurant
60610,60605,14-A00204,2014-05-15,Dismissed,CVR Inspection Services,,,2015-03-10,
53168,60191,14-A00206,2014-05-22,Dismissed,JuiceRx,,,2014-11-10,
60014,60115,14-A00207,2014-05-22,Dismissed,Gem LLC/Jackson Hewitt,659.67,,2016-08-02,Accounting
60619,60602,14-A00209,2014-05-22,Dismissed,Maxim's Restaurant,,,,
60660,60090,14-A00210,2014-05-22,Dismissed,Accurate Industries,,,2015-03-10,
60645,60659,14-A00211,2014-05-22,Fully Paid,Dunkin Donuts/Baskin Robbins,,,2014-10-02,
60560,60181,14-A00212,2014-05-22,Fully Paid,People's Home Equity,2790,,2015-11-23,
62703,62711,14-A00213,2014-05-22,Fully Paid,"Davidson's Japanese Maples, LLC",711.5,,2015-06-12,Consumer Products
60618,60629,14-A00214,2014-05-22,Dismissed,"Great Northern Insurance Agency, Inc",,,2015-10-24,Insurance
61944,61944,14-A00215,2014-05-22,Dismissed,Robert Hutchcraft Corner Store ,2800,,2016-03-23,Restaurant
60617,60605,14-A00216,2014-05-22,Dismissed,"Crockett Cookies, Inc",,,,
60087,60631,14-A00217,2014-05-22,Dismissed,Illinois School of Health Centers,,,,
,60432,14-A00218,2014-05-22,Dismissed,"Natural Creations Landscaping, Inc",,,2015-08-31,Service
60609,60608,14-A00219,2014-05-22,Dismissed,MD@Homet,,,,
60101,60101,14-A00220,2014-05-22,Dismissed,GM Cement Construction,,,2015-04-09,
60608,60439,14-A00221,2014-05-22,Fully Paid,ProTech Security Group,7509,,2015-09-24,Security Company
,62920,14-A00222,2014-06-04,Dismissed,Blueberry Hill Farm,,,2014-07-18,Agriculture
60634,60631,14-A00223,2014-06-05,Dismissed,"Perfect Cleaning Service, Inc",,,2015-08-10,
60085,60031,14-A00224,2014-06-05,Dismissed,"SPP Ariston, Inc/Avalon Restaurant",,,,Restaurant
60446,60440,14-A00225,2014-06-05,Dismissed,Bolingbrook Foot & Ankle Center,,,,
60544,61704,14-A00226,2014-06-05,Fully Paid,"Mortgage Services III, LLC",3048.38,,2016-04-08,Banking
60610,48084,14-A00228,2014-06-05,Dismissed,Richard C Hamilton,,,,
60618,60610,14-A00229,2014-06-05,Dismissed,NOI US,,,,
,62701,14-A00230,2014-06-05,Fully Paid,PAVE Camp,,,2016-06-20,
46320,60614,14-A00231,2014-06-05,Dismissed,Brother's Beef Inc.,,,,
52728,52306,14-A00232,2014-06-05,Dismissed,North Cedar Trucking,,,,
60085,60064,14-A00233,2014-06-05,Dismissed,Taco Bell,,,2015-09-23,Restaurant
60640,60625,14-A00234,2014-06-05,Fully Paid,Peralvillo/Eric's Tacos,19961.01,,2015-11-10,Restaurant
61109,61107,14-A00235,2014-06-05,Dismissed,Peterson Cleaning Inc.,,,2016-04-11,Cleaning Services - Home & Office
60120,60007,14-A00236,2014-06-05,Dismissed,Porreca Freight Inc,,,,Transportation
60020,60041,14-A00237,2014-06-05,Fully Paid,Zaza,604.26,,2015-08-05,Restaurant
60517,60555,14-A00238,2014-06-05,Fully Paid,Cure Home Care,1274.78,,2015-08-31,Health Care
62501,62521,14-A00240,2014-06-05,Fully Paid,Signature Salon,318.16,,2015-08-28,Service
60124,60124,14-A00241,2014-06-05,Dismissed,Wen Enterprises,,,2015-09-07,Transportation
60621,60617,14-A00242,2014-06-18,Dismissed,Stinson Dental,,,2016-04-06,
60603,60805,14-A00244,2014-06-18,Fully Paid,"MCC Healthcare Services, Inc",743,,2016-03-09,Health Care
60042,60051,14-A00245,2014-06-19,Dismissed,Mattress Overstock,,,2015-08-18,
60040,60008,14-A00246,2014-06-18,Dismissed,Tricon Group/Tricon Snow Control,,,2015-12-09,
61231,61204,14-A00247,2014-06-19,Dismissed,The Valley Group Inc./Valley Construction,,,2016-08-31,Construction/Landscaping
60644,60666,14-A00248,2014-06-19,Dismissed,U.S. Postal Service,,,2015-02-25,
,60560,14-A00250,2014-06-19,Dismissed,"Yorkville CUSD Project, Yorkville HS",,,,
,60563,14-A00254,2014-06-26,Dismissed,Nicor Gas,,,,
60532,60515,14-A00255,2014-06-26,Dismissed,PNC Mortgage ,,,2015-09-07,Banking
60634,60101,14-A00256,2014-06-26,Dismissed,Power Port Products,,,2014-11-10,
60637,60018,14-A00257,2014-06-26,Dismissed,Herzing University,,,2015-08-26,Education
60609,60609,14-A00259,2014-06-26,Dismissed,Mobil Prime Gas Food,0,,2015-11-30,Retail & Wholesale
62827,62844,14-A00260,2014-06-26,Fully Paid,Windsor Oaks/ Paradise Grill,1235.48,,2016-05-31,Restaurant
60586,,14-A00261,2014-06-26,Dismissed,Cell Vision,,,,Electronics
60504,60563,14-A00262,2014-06-26,Dismissed,Odyssey Fun World,,,,Entertainment & Leisure
60611,60605,14-A00264,2014-06-26,Dismissed,Susman & Associates,,,2016-08-12,Legal
55806,60106,14-A00266,2014-06-26,Dismissed,Norwood Commercial Contractors,,,2016-08-23,Construction/Landscaping
60466,60603,14-A00268,2014-06-26,Dismissed,Exelon,,,,Energy
60642,60618,14-A00269,2014-06-26,Dismissed,SweatVac DoWrap LLC,,,,Consumer Products
60634,60634,14-A00270,2014-06-26,Dismissed,"Master Hand Contractors, Inc ",,,2015-04-09,Service
60657,60611,14-A00273,2014-07-07,Dismissed,Canteen Kitchen,,,2014-07-08,Restaurant
61064,61061,14-A00274,2014-07-08,Dismissed,"Oregon Ambulance Service, Inc.",,,2016-04-22,Non-Profit
60177,60532,14-A00275,2014-07-08,Dismissed,Passages Hospice LLC,,,2015-08-31,Health Care
62226,62226,14-A00276,2014-07-08,Fully Paid,"Chiro-Med, Ltd",2902.36,,2016-01-07,Health Care
62896,62896,14-A00278,2014-07-08,Dismissed,Dynomite Road Service,,,2015-09-15,Automotive
62206,62201,14-A00279,2014-07-08,Dismissed,IEC Management/VCGH Holdings,,,,Consulting
60008,60007,14-A00281,2014-07-08,Dismissed,"Mark's Home Decorating, Inc",,,2015-11-30,Service
60153,60637,14-A00282,2014-07-08,Fully Paid,LifeCare@Home,980,,2015-12-03,Health Care
61257,61257,14-A00283,2014-07-08,Dismissed,Jammerz Roadhouse Inc. / dba: Country Pub N Grub,,,2016-05-19,Restaurant
60609,60106,14-A00284,2014-07-08,Dismissed,"Amerifreight Systems, LLC",,,2015-10-16,Transportation
62526,62526,14-A00285,2014-07-08,Dismissed,"McLeod Express, LLC",,,2014-11-06,Transportation
60445,60525,14-A00287,2014-07-08,Dismissed,"Estes Express Lines, Inc",,,,Transportation
,60046,14-A00288,2014-07-10,Fully Paid,"The Resort of Fairmont Shores, Inc.",,,,Restaurant
,60067,14-A00289,2014-07-11,Fully Paid,Universal Instrument,98.06,98.06,2014-11-18,Manufacturing
61065,61104,14-A00290,2014-07-15,Dismissed,Corporate Employment Services Inc./Corporate Services,,,2016-04-25,Manufacturing
62523,62521,14-A00291,2014-07-15,Dismissed,Woody's Bar,,,2015-12-19,"Food, Beverage & Tobacco"
60406,60415,14-A00292,2014-07-15,Dismissed,JB Robinson,,,2015-08-31,Retail & Wholesale
60625,60625,14-A00293,2014-07-15,Fully Paid,Sahar International Supermarket,900,,2015-07-29,
60636,60604,14-A00295,2014-07-15,Dismissed,"Gateway Foundation, Inc.",,,2016-08-19,Service
,62884,14-A00296,2014-07-15,Dismissed,Iron Horse Bar,,,,"Food, Beverage & Tobacco"
60608,60607,14-A00297,2014-07-16,Dismissed,"NOZONE, INC. / dba: Steadfast Networks",,,2016-04-27,Telecommunications
60620,60611,14-A00298,2014-07-16,Dismissed,MVP Security,,,2015-06-08,Service
60016,60053,14-A00300,2014-07-16,Fully Paid,Elan Furs,6477.09,,2016-02-17,Retail & Wholesale
60018,60707,14-A00302,2014-07-16,Fully Paid,Pep Boys Auto,,,2014-11-17,Automotive
60195,60173,14-A00303,2014-07-16,Fully Paid,B&B Bachrach,1891.26,,2015-08-05,Retail & Wholesale
60156,60014,14-A00304,2014-07-16,Dismissed,Black Diamond Plumbing and Mechanical Inc.,,,2015-09-14,Service
60304,60647,14-A00305,2014-07-16,Fully Paid,S@kura Fusion Japanese & Sushi ,1176.56,,2015-10-02,Restaurant
60449,60449,14-A00306,2014-07-16,Dismissed,Best Western Super 8,,,2015-03-09,Service
62526,62526,14-A00307,2014-07-16,Dismissed,Decatur Manor Health Care,,,2015-09-07,Health Care
60139,69585,14-A00308,2014-06-03,Dismissed,Sound Design Inc,,,2015-08-31,Technology
,62025,14-A00309,2014-07-16,Dismissed,Rand Direct,,,,Manufacturing
60014,60115,14-A00310,2014-07-18,Dismissed,Brueckner Framing Inc,,,,Service
60620,60620,14-A00311,2014-07-18,Dismissed,May Food Market,,,,
62626,62626,14-A00312,2014-07-18,Dismissed,Delphine Paul Estate,,,,Health Care
60617,,14-A00313,2014-07-18,Dismissed,Las Gorditas,,,,
60585,60585,14-A00315,2014-07-18,Dismissed,Webb Chevrolet,,,,Automotive
,60133,14-A00316,2014-07-18,Dismissed,Hollywood Bliss,,,2015-06-10,Restaurant
60143,60106,14-A00317,2014-07-18,Fully Paid,The Village Flower Shop,15.94,,2015-08-12,Service
60102,60169,14-A00318,2014-07-18,Dismissed,Oreck Floor Care Centers of Texas,,,,Retail & Wholesale
,61073,14-A00319,2014-07-23,Dismissed,The Beaver Group Co/dba: Busy Beaver Tree Care & Maintenance,,,2014-11-10,Construction/Landscaping
60601,61021,14-A00321,2014-07-24,Dismissed,Accurate Paving & Seal Coating,,,2016-08-26,Construction/Landscaping
61701,61704,14-A00322,2014-07-24,Fully Paid,Anjana 3 Inc.,1300,,,Restaurant
60487,60585,14-A00323,2014-07-24,Dismissed,Euro-Tech Cabinetry & Remodeling Corp.,,,2015-09-30,Manufacturing
62704,62704,14-A00324,2014-07-24,Fully Paid,Hawaiian BBQ,135.51,,2016-03-25,Restaurant
68629,61071,14-A00325,2014-07-24,Dismissed,IMC,,,2015-12-19,Service
60651,60154,14-A00326,2014-07-24,Dismissed,Dunkin Donuts,,,2014-11-10,"Food, Beverage & Tobacco"
60085,60085,14-A00327,2014-07-24,Dismissed,Ash Pallet Management Inc.,0,,2014-12-15,
53170,60098,14-A00328,2014-07-24,Fully Paid,Schwartz Performance,8305.13,,2016-08-18,Automotive
60629,60632,14-A00330,2014-07-28,Dismissed,"Jerry's Truck Service, Inc",,,,Automotive
66215,60459,14-A00331,2014-07-28,Dismissed,"Quality Cartage, Inc",,,,Transportation
60640,60610,14-A00332,2014-07-28,Dismissed,Gallery Bar,,,2015-04-23,"Food, Beverage & Tobacco"
60619,,14-A00333,2014-07-31,Dismissed,Florence Cleaning ,,,,Service
,60201,14-A00334,2014-07-31,Dismissed,"Clarke's On Orrington, Inc./ dba: J.T's Bar and Grill",,,2016-08-24,Restaurant
,,14-A00335,2014-07-31,Dismissed,"Pinky Nail, Inc",,,2015-03-10,
60551,61604,14-A00336,2014-07-31,Fully Paid,Childers Eatery/Childers Banquet Event Center ,607.81,,2015-07-29,Service
60657,60614,14-A00337,2014-07-31,Dismissed,Solstice Chocolate Bar,,,2014-10-28,"Food, Beverage & Tobacco"
60647,97213,14-A00339,2014-07-31,Fully Paid,Master Janitorial Service,5311.82,,2015-06-24,Service
60090,60067,14-A00340,2014-07-31,Fully Paid,Artistic Cusine Restaurant ,6064.06,,2016-04-04,Restaurant
62995,28105,14-A00341,2014-08-01,Dismissed,Synergy One Locating,,,2015-09-30,Energy
60402,60622,14-A00342,2014-08-01,Dismissed,Lavanderia Ashland,,,,Service
60084,31401,14-A00343,2014-08-01,Dismissed,Titlemax,,,2014-12-15,Financial Services
60506,60541,14-A00344,2014-08-04,Dismissed,"Asbury Gardens SLF, LLC",,,2015-06-26,Health Care
48015,60015,14-A00345,2014-08-04,Fully Paid,"Shin's Accu-Auto Service, Inc",453.75,,2015-10-02,Automotive
62864,62864,14-A00346,2014-08-04,Dismissed,Quality Inn,4000,,2016-03-23,Lodging/Hospitality
60131,60304,14-A00347,2014-08-04,Fully Paid,Oak Park Dental Studio,19.55,,2015-10-29,Health Care
60805-3117,60620,14-A00348,2014-08-04,Fully Paid,"Jamaica Jerk Villa, Inc",6940.63,,2016-07-15,Restaurant
60626,60062,14-A00349,2014-08-04,Fully Paid,Home Instead Senior Care,603.55,,2015-12-30,Health Care
60087,60099,14-A00350,2014-08-04,Dismissed,J Crew Property Presevation ,,,2015-10-16,Service
60637,60565,14-A00351,2014-08-04,Dismissed,Aries Charters Transportation,,,2015-01-30,Transportation
